NRE No,Owner,Request date.,Item ,Code item,Aplication reason / Area,Operation,Customizer,Brand ,Model,Picture,Status,New or replace,Qty required,Quotation Unit Price (MX),Total amount (MX),MX total + IVA,Amount (USD),Total + IVA USD,Owner approval,MFG approval date,Purchase Format,Status,Arrived date
ZL25032001,Jesus Muro,03/20/2025,UV printer ink and transport service,N/A,ATO,Consumable,IndigoColor,RICOH,GEN 5/6,,Approved,Service,1,6462.75,6462.75,7496.79,#REF!,#REF!,Liam / Kevin,03/21/2025,Yes,Arrived,03/28/2025
ZL25032002,Jesus Muro,03/20/2025,Servo controller & installation service,N/A,ATO,Service,IndigoColor,Singmaker,Dominator,,Approved,Service,1,15025.38,15025.38,17429.4408,#REF!,#REF!,Liam / Kevin,03/21/2025,Yes,Arrived,03/28/2025
ZL25032501,Jonas Navarro,03/25/2025,Toner HP 30A,N/A,PRINTER Maintenance,Maintenance,IKP,HP,30A,,Approved,Pzs,5,1394,6970,8085.2,#REF!,#REF!,Liam / Kevin,03/25/2025,Yes,Arrived,03/31/2024
ZL25032502,Juan Mata,03/25/2025,Replacement Battery for UPS,N/A,TI,Maintenance,OKNALB,CyberPower,RB1290X4H,,Approved,Replace,1,15213,15213,17647.08,#REF!,#REF!,Liam / Kevin,03/25/2025,Yes,Arrived,
ZL25032701,Jesus Muro,03/27/2025,"Kit 20 Memorias Usb 16gb Rojo 2.0
Bulk 4geek Liso",N/A,ONT line,Replace,OKNALB,4geek,N/A,,Approved,Replace,1,1335,1335,1548.6,#REF!,#REF!,Liam / Kevin,03/27/2025,Yes,Arrived,03/31/2024
ZL25040301,Jesus Muro,04/03/2025,SCALE,30165,All areas,Calibration,Micropresicion,BRAUNKER,ZM301,,Approved,Service,1,#REF!,#REF!,#REF!,185,214.6,Liam / Kevin,04/03/2025,Yes,Arrived,05/01/2025
ZL25040302,Jesus Muro,04/03/2025,SCALE,30182,All areas,Calibration,Micropresicion,AVERY WEIGHT-TRONIX,ZM303,,Approved,Service,1,#REF!,#REF!,#REF!,185,214.6,Liam / Kevin,04/03/2025,Yes,Arrived,05/01/2025
ZL25040303,Jesus Muro,04/03/2025,MOISTURE AND TEMPERATURE SENSOR,30190,All areas,Calibration,Micropresicion,EXTECH,445815,,Approved,Service,1,#REF!,#REF!,#REF!,55,63.8,Liam / Kevin,04/03/2025,Yes,Arrived,05/15/2025
ZL25040304,Jesus Muro,04/03/2025,MOISTURE AND TEMPERATURE SENSOR,30191,All areas,Calibration,Micropresicion,EXTECH,445815,,Approved,Service,1,#REF!,#REF!,#REF!,55,63.8,Liam / Kevin,04/03/2025,Yes,Arrived,05/15/2025
ZL25040305,Jesus Muro,04/03/2025,SCALE,DH5927,All areas,Calibration,Micropresicion,AVERY WEIGHT-TRONIX,ZM301,,Approved,Service,1,#REF!,#REF!,#REF!,295,342.2,Liam / Kevin,04/03/2025,Yes,Arrived,05/01/2025
ZL25040306,Jesus Muro,04/03/2025,FLEXOMETER WIFI,ED4709,All areas,Calibration,Micropresicion,MONOLITHLOT,MIT- 3033,,Approved,Service,1,#REF!,#REF!,#REF!,85,98.6,Liam / Kevin,04/03/2025,Yes,Arrived,05/15/2025
ZL25040307,Jesus Muro,04/03/2025,FLEXOMETER WIFI,ED4712,All areas,Calibration,Micropresicion,MONOLITHLOT,MIT- 3033,,Approved,Service,1,#REF!,#REF!,#REF!,85,98.6,Liam / Kevin,04/03/2025,Yes,Arrived,05/15/2025
